ADDRESS,CITY,STATE,ZIP,LAST SOLD PRICE,BEDS,BATHS,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,LATITUDE,LONGITUDE
3214 Tenafly Rd,Tenafly,NJ,7670,,0,,857,,2009,,,
3216 Tenafly Rd,Tenafly,NJ,7670,,0,,857,,2009,,,
10 Lindley Ave,Tenafly,NJ,7670,,0,,1673,8999,1929,,40.915855,-73.9679846
154 Sussex Rd,Tenafly,NJ,7670,,0,,1560,5001,1923,,40.919838,-73.976657
440 Tenafly Rd,Tenafly,NJ,7670,,0,,1116,3001,1918,,40.9281848,-73.9662259
27 W Clinton Ave Apt 3G,Tenafly,NJ,7670,,0,,918,,1983,,40.9243437,-73.9670919
97 Kent Rd,Tenafly,NJ,7670,,0,,3818,40511,1956,,40.9089219,-73.947047
35 Chestnut St,Tenafly,NJ,7670,295000,2,1,,3101,,47,40.928019,-73.966363
103 Palmer Ave,Tenafly,NJ,7670,,0,,2472,11038,1951,,40.91695,-73.9753
55 Newcomb Rd,Tenafly,NJ,7670,,0,,1120,8999,1960,,40.9327177,-73.9677765
2 Inness Rd,Tenafly,NJ,7670,,0,,960,6599,1943,,40.9157695,-73.9661149
364 W Clinton Ave,Tenafly,NJ,7670,,0,,1080,7857,1948,,40.92428,-73.981925
3209 Tenafly Ct,Tenafly,NJ,7670,,0,,907,,2009,,,
15 Wight Pl,Tenafly,NJ,7670,,0,,1342,7301,1923,,40.9285,-73.975621
16 Cortlandt Pl,Tenafly,NJ,7670,,0,,1626,6600,1961,,40.931163,-73.968051
39 Westervelt Ave,Tenafly,NJ,7670,360000,2,2,,,,80,40.9197503,-73.9650539
26 Grove St,Tenafly,NJ,7670,,0,,1250,5001,1923,,40.927784,-73.965093
179 Riveredge Rd,Tenafly,NJ,7670,365000,3,1,,8006,,414,40.92787,-73.974405
294 Tenafly Rd,Tenafly,NJ,7670,,0,,1750,15247,1911,,40.922717,-73.968092
139 Tenafly Rd,Tenafly,NJ,7670,,0,,1413,6499,1948,,40.917635,-73.970924
339 W Clinton Ave,Tenafly,NJ,7670,385000,3,2,,6299,,288,40.924534,-73.981633
36 Coleman Ter,Tenafly,NJ,7670,390500,2,1.5,,7000,,191,40.917189,-73.972879
8 Cambridge Rd,Tenafly,NJ,7670,400000,5,2,,5998,,69,40.932097,-73.979978
94 Westervelt Ave,Tenafly,NJ,7670,,0,,1246,9292,1948,,40.921307,-73.969708
